term1
"[15, 132, '146']","[17, 49, '59']","[19, 99, '113']","[17, 50, '60']",[2]
"[17, 36, '42']","[19, 125, '139']","[18, 67, '81']","[17, 32, '38']",[2]
"[18, 66, '80']","[15, 128, '142']","[19, 122, '136']","[19, 111, '125']",[2]
"[18, 83, '97']","[17, 41, '47']","[19, 112, '126']","[19, 92, '106']",[2]
"[19, 101, '115']","[17, 34, '40']","[19, 124, '138']","[18, 65, '79']",[2]
"[15, 85, '99']","[18, 69, '83']","[16, 6, '7']","[19, 121, '135']",[0]
"[17, 28, '34']","[15, 129, '143']","[16, 1, '2']","[19, 104, '118']",[0]
"[18, 84, '98']","[15, 127, '141']","[17, 35, '41']","[19, 98, '112']",[0]
"[17, 135, 'EC']","[18, 63, '77']","[19, 107, '121']","[16, 9, '15']",[0]
"[16, 15, '21']","[19, 126, '140']","[17, 133, 'EC']","[15, 86, '100']",[0]
"[17, 33, '39']","[19, 119, '133']","[16, 24, '30']","[18, 76, '90']",[0]
"[19, 105, '119']","[15, 131, '145']","[16, 11, '17']","[17, 40, '46']",[0]
"[17, 57, '67']","[16, 14, '20']","[18, 60, '74']","[19, 123, '137']",[0]
"[16, 21, '27']","[17, 47, '57']","[18, 75, '89']","[19, 95, '109']",[0]
"[17, 53, '63']","[16, 0, '1']","[18, 62, '76']","[19, 108, '122']",[0]
"[19, 115, '129']","[15, 87, '101']","[17, 42, '48']","[18, 61, '75']",[0]
"[17, 56, '66']","[18, 70, '84']","[19, 109, '123']","[16, 22, '28']",[0]
"[18, 64, '78']","[15, 89, '103']","[16, 10, '16']","[19, 110, '124']",[0]
"[15, 130, '144']","[17, 38, '44']","[18, 68, '82']","[19, 116, '130']",[0]
"[19, 94, '108']","[17, 39, '45']","[16, 2, '3']","[18, 71, '85']",[0]
"[17, 30, '36']","[19, 102, '116']","[18, 78, '92']","[16, 16, '22']",[0]
